Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,30.447144,30.478571,30.080000,30.104286,26.193771,88102700
2010-01-04,30.490000,30.642857,30.340000,30.572857,26.601469,123432400
2010-01-05,30.657143,30.798571,30.464285,30.625713,26.647457,150476200
2010-01-06,30.625713,30.747143,30.107143,30.138571,26.223597,138040000
2010-01-07,30.250000,30.285715,29.864286,30.082857,26.175119,119282800
2010-01-08,30.042856,30.285715,29.865715,30.282858,26.349140,111902700
2010-01-11,30.400000,30.428572,29.778572,30.015715,26.116703,115557400
2010-01-12,29.884285,29.967142,29.488571,29.674286,25.819624,148614900
2010-01-13,29.695715,30.132856,29.157143,30.092857,26.183823,151473000
2010-01-14,30.015715,30.065714,29.860001,29.918571,26.032179,108223500
2010-01-15,30.132856,30.228571,29.410000,29.418571,25.597126,148516900
2010-01-19,29.761429,30.741428,29.605715,30.719999,26.729498,182501900
2010-01-20,30.701429,30.792856,29.928572,30.247143,26.318066,153038200
2010-01-21,30.297142,30.472857,29.601429,29.724285,25.863125,152038600
2010-01-22,29.540001,29.642857,28.165714,28.250000,24.580349,220441900
2010-01-25,28.930000,29.242857,28.598572,29.010000,25.241627,266424900
2010-01-26,29.421429,30.530001,28.940001,29.420000,25.598370,466777500
2010-01-27,29.549999,30.082857,28.504286,29.697144,25.839514,430642100
2010-01-28,29.275715,29.357143,28.385714,28.469999,24.771774,293375600
2010-01-29,28.725714,28.885714,27.178572,27.437143,23.873083,311488100
2010-02-01,27.481428,28.000000,27.328571,27.818571,24.204962,187469100
2010-02-02,27.987143,28.045713,27.625713,27.980000,24.345423,174585600
2010-02-03,27.881428,28.600000,27.774286,28.461428,24.764317,153832000
2010-02-04,28.104286,28.338572,27.367144,27.435715,23.871843,189413000
2010-02-05,27.518572,28.000000,27.264286,27.922857,24.295704,212576700
2010-02-08,27.955715,28.268572,27.714285,27.731428,24.129141,119567700
2010-02-09,28.059999,28.214285,27.821428,28.027143,24.386444,158221700
2010-02-10,27.984285,28.085714,27.751429,27.874287,24.253443,92590400
2010-02-11,27.840000,28.535715,27.722857,28.381428,24.694708,137586400
2010-02-12,28.301428,28.805714,27.928572,28.625713,24.907267,163867200
2010-02-16,28.848572,29.098572,28.788572,29.057142,25.282644,135934400
2010-02-17,29.170000,29.187143,28.694286,28.935715,25.176991,109099200
2010-02-18,28.804285,29.127142,28.702858,28.990000,25.224226,105706300
2010-02-19,28.837143,29.028572,28.730000,28.809999,25.067610,103867400
2010-02-22,28.905714,28.928572,28.455715,28.631428,24.912235,97640900
